,Data Noturno,Unique Opens Noturno,,Data Diurno,Unique Opens Diurno,,Data Ad,Receita Diurno,Receita Noturno
,11/3/2025,"434,784",,11/4/2025,"450,707",,,R$ 0.00,R$ 0.00
,10/31/2025,"502,115",,11/3/2025,"526,952",,18/10/2022,"R$ 5,000.00",
,10/30/2025,"510,257",,11/2/2025,"524,817",,01/11/2022,"R$ 25,000.00",
,10/29/2025,"514,669",,11/1/2025,"561,721",,07/12/2022,"R$ 5,000.00",
,10/28/2025,"535,899",,10/31/2025,"557,513",,03/01/2023,"R$ 15,000.00",
,10/27/2025,"526,587",,10/30/2025,"564,380",,09/01/2023,"R$ 12,500.00",
,10/24/2025,"523,902",,10/29/2025,"567,886",,11/01/2023,"R$ 32,000.00",
,10/23/2025,"528,916",,10/28/2025,"608,204",,12/01/2023,"R$ 25,000.00",
,10/22/2025,"545,205",,10/27/2025,"603,454",,13/01/2023,"R$ 20,000.00",
,10/21/2025,"531,452",,10/26/2025,"566,328",,16/01/2023,"R$ 35,000.00",
,10/20/2025,"545,452",,10/25/2025,"553,723",,17/01/2023,"R$ 30,000.00",
,10/17/2025,"531,953",,10/24/2025,"600,029",,19/01/2023,"R$ 25,000.00",
,10/16/2025,"541,891",,10/23/2025,"590,220",,24/01/2023,"R$ 52,000.00",
,10/15/2025,"530,177",,10/22/2025,"594,539",,25/01/2023,"R$ 25,000.00",
,10/14/2025,"548,075",,10/21/2025,"587,731",,27/01/2023,"R$ 20,000.00",
,10/13/2025,"521,152",,10/20/2025,"589,348",,31/01/2023,"R$ 30,000.00",
,10/10/2025,"519,553",,10/19/2025,"582,212",,02/02/2023,"R$ 32,000.00",
,10/9/2025,"540,782",,10/18/2025,"571,641",,06/02/2023,"R$ 35,000.00",
,10/8/2025,"534,976",,10/17/2025,"598,054",,07/02/2023,"R$ 50,000.00",
,10/7/2025,"531,769",,10/16/2025,"586,363",,08/02/2023,"R$ 27,000.00",
,10/6/2025,"540,115",,10/15/2025,"575,487",,09/02/2023,"R$ 27,000.00",
,10/3/2025,"563,837",,10/14/2025,"579,085",,13/02/2023,"R$ 30,000.00",
,10/2/2025,"539,907",,10/13/2025,"568,559",,14/02/2023,"R$ 45,000.00",
,10/1/2025,"561,352",,10/12/2025,"567,951",,16/02/2023,"R$ 40,000.00",
,9/30/2025,"562,752",,10/11/2025,"559,031",,23/02/2023,"R$ 28,000.00",
,9/29/2025,"556,791",,10/10/2025,"572,701",,27/02/2023,"R$ 45,000.00",
,9/26/2025,"536,253",,10/9/2025,"574,546",,28/02/2023,"R$ 60,000.00",
,9/25/2025,"553,318",,10/8/2025,"589,549",,01/03/2023,"R$ 45,000.00",
,9/24/2025,"561,746",,10/7/2025,"630,299",,02/03/2023,"R$ 42,500.00",
,9/23/2025,"567,830",,10/6/2025,"597,332",,06/03/2023,"R$ 30,000.00",
,9/22/2025,"568,031",,10/5/2025,"589,118",,07/03/2023,"R$ 73,000.00",
,9/19/2025,"558,298",,10/4/2025,"580,696",,08/03/2023,"R$ 53,000.00",
,9/18/2025,"555,789",,10/3/2025,"574,755",,09/03/2023,"R$ 30,000.00",
,9/17/2025,"555,918",,10/2/2025,"595,147",,10/03/2023,"R$ 35,000.00",
,9/16/2025,"583,914",,10/1/2025,"610,931",,13/03/2023,"R$ 60,500.00",
,9/15/2025,"563,681",,9/30/2025,"601,326",,14/03/2023,"R$ 35,000.00",
,9/12/2025,"571,075",,9/29/2025,"646,827",,15/03/2023,"R$ 72,000.00",
,9/11/2025,"576,643",,9/28/2025,"579,858",,16/03/2023,"R$ 42,000.00",
,9/10/2025,"581,769",,9/27/2025,"569,132",,20/03/2023,"R$ 48,000.00",
,9/9/2025,"569,187",,9/26/2025,"599,685",,21/03/2023,"R$ 42,000.00",
,9/8/2025,"579,108",,9/25/2025,"587,474",,22/03/2023,"R$ 73,500.00",
,9/5/2025,"570,019",,9/24/2025,"604,245",,23/03/2023,"R$ 58,000.00",
,9/4/2025,"563,772",,9/23/2025,"595,144",,28/03/2023,"R$ 35,000.00",
,9/3/2025,"567,165",,9/22/2025,"622,075",,29/03/2023,"R$ 35,000.00",
,9/2/2025,"582,242",,9/21/2025,"597,348",,30/03/2023,"R$ 10,000.00",
,9/1/2025,"587,989",,9/20/2025,"601,812",,03/04/2023,"R$ 50,000.00",
,8/29/2025,"569,995",,9/19/2025,"569,392",,04/04/2023,"R$ 53,000.00",
,8/28/2025,"594,657",,9/18/2025,"580,644",,05/04/2023,"R$ 55,000.00",
,8/27/2025,"581,916",,9/17/2025,"576,854",,06/04/2023,"R$ 13,500.00",
,8/26/2025,"594,666",,9/16/2025,"591,079",,07/04/2023,"R$ 5,000.00",
,8/25/2025,"599,604",,9/15/2025,"596,323",,10/04/2023,"R$ 47,000.00",
,8/22/2025,"600,242",,9/14/2025,"587,580",,11/04/2023,"R$ 45,000.00",
,8/21/2025,"571,952",,9/13/2025,"564,923",,12/04/2023,"R$ 52,300.00",
,8/20/2025,"590,160",,9/12/2025,"598,325",,13/04/2023,"R$ 55,000.00",
,8/19/2025,"579,766",,9/11/2025,"628,162",,14/04/2023,"R$ 10,000.00",
,8/18/2025,"619,139",,9/10/2025,"590,284",,17/04/2023,"R$ 62,000.00",
,8/15/2025,"534,874",,9/9/2025,"593,600",,18/04/2023,"R$ 61,500.00",
